Job Title,Company,Location,Expiry Date,Description
NATIONAL AND EXPORT MARKET FEASIBILITY STUDY CONSULTANCY,Nyahunure Community Organisation,Murehwa,Expires 18 Aug 2025,TERMS OF REFERENCE FOR NATIONAL AND EXPORT MARKET FEASIBILITY STUDY Nyahunure Community Organisation (NCO) and Christian Aid are looking for a consultant to conduct a 15-day National and Export Market Feasibility Study designed to enhance export market opportunities for smallholder women farmer groups in the Mashonaland East production corridor. This
Assistant House Parent,SOS Children's Villages Zimbabwe,Bindura,Expires 18 Aug 2025,"About Established in 1949, SOS Children's Villages International (CVI) is a dynamic, international social development organization working globally to meet the needs and protect the interests and rights of children without parental care and those who are at the risk of losing it. SOS Children's Villages Association of Zimbabwe is"
Resource Development & New Business Development (NBD) Manager - Zimbabwe,Save the Children International,Harare,Expires 17 Aug 2025,"RESOURCE DEVELOPMENT AND NEW BUSINESS DEVELOPMENT MANAGER ROLE PURPOSE: The Resource Development & New Business Development (NBD) Manager - Zimbabwe is a pivotal role in supporting Save the Children Zimbabwe and the wider Malawi-Zimbabwe Cluster to anticipate, adapt, and respond to the changing development and humanitarian funding landscape. This role"
Van Salesman - Manicaland Province,Panmart,Mutare,Expires 17 Aug 2025,We are looking for an experienced and self-driven Van Salesman to join our growing team in Manicaland. The successful candidate will be responsible for selling and distributing our range of fast-moving dry groceries to various retail outlets and customers across the province.
Scarp Yard Clients Manager,N/A,Harare,Expires 17 Aug 2025,"Location: Harare, Zimbabwe Position Type: Full-Time We are seeking a motivated and results-driven Scrap Yard Clients Manager to join our team in Harare. The ideal candidate must be confident in sales, cold calling, and client engagement-especially within the scrap metal sector."
Operations Manager - Clinical Laboratory,Parrogate Zimbabwe (PVT) Ltd,Harare,Expires 16 Aug 2025,"An exciting opportunity awaits for an experienced Laboratory Operations Manager for a Clinical Laboratory Company to join their highly professional health care team. The Operations Manager oversees the end-to-end administrative and logistical functions of the clinical laboratory. This role ensures optimal workflow, staff efficiency, service delivery, and regulatory compliance. The"
Headmaster,N/A,Harare,Expires 16 Aug 2025,"We are recruiting on behalf of our client a dynamic, principled, and visionary headmaster to lead our school into its next chapter of excellence. This is a unique opportunity for a leader who is passionate about education, committed to holistic development, incapable of fostering a culture of integrity, innovation, and"
Chief Executive Officer (CEO): Solid Capital Investments,N/A,Harare,Expires 15 Aug 2025,Job Title: Chief Executive Officer (CEO) Location: Harare Company: Solid Capital Investments Zimbabwe (Pvt) Limited Application Deadline: 21 July 2025 About the Company Solid Capital Investments Zimbabwe (Pvt) Limited is a licensed and rapidly growing microfinance institution committed to providing inclusive financial services that empower individuals and small businesses. Our
Inter-Company Liaison Officer,N/A,Harare,Expires 15 Aug 2025,Inter-Company Liaison Officer
Marketing Officer (Infinite Bloom),Traverze Travel,Harare,Expires 15 Aug 2025,"We are a vibrant and growing floral business specializing in fresh cut flowers (Infinite Bloom), floral arrangements, and event floral dcor. Our mission is to bring beauty, creativity, and joy into every space with flowers. We are currently seeking a dynamic and creative Marketing Officer to join our team and"
Student Attachees x 2 : Survey and & Geoinformatics,N/A,Harare,Expires 15 Aug 2025,"Applications are invited from undergraduate students in the department of Survey &Geoinformatics to fill in vacances that have arisen immediately. We are a Land Development company based in , Harare The students will be expected to perform various survey duties in the Survey department as part of their development."
Student Attachee,NATIONAL EMPLOYMENT COUNCIL FOR THE CATERING INDUSTRY IN ZIMBABWE,Harare,Expires 15 Aug 2025,STUDENT ON ATTACHMENT
Accounts Officer Debtors,Allied Timbers Zimbabwe (Pvt) Ltd,Harare,Expires 15 Aug 2025,"An exciting opportunity for the position of Accounts Officer - Debtors has arisen for a suitably qualified and experienced person at Allied Timbers Zimbabwe (Pvt) Ltd. Allied Timbers Zimbabwe (Pvt) Ltd is an extensive, local and international provider of high quality and durable timber-based solutions for both industrial, domestic and"
Finance and Administration Assistant - Maternity Cover,Trcaire,Harare,Expires 15 Aug 2025,About Trcaire Trcaire is an International NGO. We work with local partners in the world's most at-risk communities and with people in Ireland to tackle the underlying causes of poverty and injustice and respond to the crises they create. Together we bring about positive and lasting change for a just
Supply Chain Officer - ReAdvert,Green Feathers Farm Pvt Ltd,Wedza or Hwedza,Expires 15 Aug 2025,"WHO WE ARE: We are a diversified agricultural business located in the heart of Wedza district, just 120 km southeast of Harare. Our main pillars of production are horticulture, cereals & tobacco, livestock and agro tourism. WHO WE ARE LOOKING FOR: As we continue to grow, we seek talented and"
Student's Attachment,Green Feathers Farm Pvt Ltd,Wedza or Hwedza,Expires 15 Aug 2025,"WHO WE ARE: We are a diversified agro-based business, situated 120 km South East of Harare. We specialise in sustainable crop production, livestock farming, beneficiation, and agro-tourism. AGRICULTURE STUDENTS' ATTACHMENT Students studying towards the following programs are encouraged to apply:  Degree in Crop Science or Equivalent  Degree in"
Student Attachee,NATIONAL EMPLOYMENT COUNCIL FOR THE CATERING INDUSTRY IN ZIMBABWE,Harare,Expires 15 Aug 2025,STUDENT ON ATTACHMENT
Marketing Officer (Infinite Bloom),Traverze Travel,Harare,Expires 15 Aug 2025,"We are a vibrant and growing floral business specializing in fresh cut flowers (Infinite Bloom), floral arrangements, and event floral dcor. Our mission is to bring beauty, creativity, and joy into every space with flowers. We are currently seeking a dynamic and creative Marketing Officer to join our team and"
Community Development Volunteer,SOS Children's Villages Zimbabwe,Shamva,Expires 15 Aug 2025,"COMMUNITY DEVELOPMENT VOLUNTEER (Job Ref: FSPB/04/08/25) Working location:  Shamva Supervisor:  Field Officer Context of the position Established in 1949, SOS Children's Villages International (CVI) is a dynamic, international social development organization working globally to meet the needs and protect the interests and rights of children without parental care"
Pharmacy Technician,Ponai Medical Centre - Avondale Urgent Care Clinic,Bindura,Expires 14 Aug 2025,Ponai Medical Centre is inviting applications from suitably qualified candidates for the post of Pharmacy Technician at our Bindura Branch.
Pharmacist,Ponai Medical Centre - Avondale Urgent Care Clinic,Bindura,Expires 14 Aug 2025,"Applications are invited from competent suitably qualified and experienced persons to fill in the position based Bindura,"
Call for a Consultant to Develop a Community based Mental Health Training manual for Wild4Life program,Pangaea Zimbabwe Aids Trust. PZAT,Harare,Expires 14 Aug 2025,"Introduction and background Pangaea Zimbabwe (PZ) is a registered local Private Voluntary Organization (PVO 10/20) that envisions a world in which all human beings live healthy, productive, and quality lives. PZ strives to transform the lives of underserved populations by working to increase access to quality, responsive, evidence-based, client-centered comprehensive"
Pharmacy Technician,Ponai Medical Centre - Avondale Urgent Care Clinic,Bindura,Expires 14 Aug 2025,Ponai Medical Centre is inviting applications from suitably qualified candidates for the post of Pharmacy Technician at our Bindura Branch.
Seeking Local Supplier Partners for NGO & Multilateral Tender Opportunities,N/A,Harare,Expires 13 Aug 2025,"We are a Zimbabwe-based consultancy that specializes in helping companies secure tenders and consulting contracts with NGOs and Multilateral Institutions. Our core strength lies in navigating complex procurement processes, developing winning proposals, and ensuring compliance with donor requirements. We are now looking to partner with local, Zimbabwean-owned companies that want"
Investigations Officer,Agricultural Finance Company Holdings (AFC),Harare,Expires 13 Aug 2025,"INVESTIGATIONS OFFICER ROLE PROFILE Reporting to the Audit Manager, the Investigations Officer will be responsible for investigating incidents of misconduct by internal and external members, as well as anomalies identified by Bank Management."
Call for Independent Consultants,N/A,Harare,Expires 13 Aug 2025,"We are a Zimbabwe-based consulting firm dedicated to driving sustainable development by leveraging homegrown expertise. We believe that Africa's most pressing challenges are best solved by skilled, local professionals who understand the context and are committed to making a difference. We are currently building a database of experienced individual consultants"
AGRONOMY GRADUATE TRAINEE,Green Fuel,Chipinge,Expires 13 Aug 2025,Applications are invited from suitably qualified individuals to fill the above vacancy that has arisen in the Agronomy Department. The successful applicants will undergo a 2-year intensive training under the supervision of the Agronomist whilst performing any other duties as assigned.
Property Sales Agent,N/A,Harare,Expires 13 Aug 2025,"We are recruiting on behalf of our client for a professional, driven, and customer-focused Property Sales Agent who is passionate about real estate and thrives in a client-facing role. This position is perfect for someone who enjoys building relationships, showcasing properties, and closing deals. You'll be responsible for actively promoting"
INVITATION TO TENDER: SUPPLY AND INSTALLATION OF CHEMISTRY & PHYSICS LABORATORY BLOCK,World Vision,Harare,Expires 13 Aug 2025,"World Vision Registration No. PVO 26 /79 INVITATION TO TENDER: SUPPLY AND INSTALLATION OF CHEMISTRY & PHYSICS LABORATORY BLOCK World Vision invites tenders from reputable and experienced organizations for the supply and installation of a Chemistry and Physics laboratory block (1x2 rooms, each accommodating 30 learners) at Gogo Secondary School,"
CEDIS Project business case and success story documentation,Mercy Corps,Mutare,Expires 13 Aug 2025,"Project/Consultancy Title: CEDIS Project business case and success story documentation Project Location(s): Bulawayo, Mutare, Harare Project: With funding from the Embassy of Sweden, Mercy Corps is implementing the Catalysing Economic Development through the Informal Sector (CEDIS) program. The 4-year programme aims to improve incomes, working conditions and resilience to shocks"
TERMS OF REFERENCE FOR LOCALISING THE CHILD & YOUTH SAFEGUARDING(CYS) POLICY.,SOS Children's Villages Zimbabwe,Harare,Expires 12 Aug 2025,"TERMS OF REFERENCE FOR LOCALISING THE CHILD & YOUTH SAFEGUARDING(CYS) POLICY. Background of the Organisation 1 Context Established in 1949, SOS Children's Villages International is a dynamic, international social development organization working globally to meet the needs and protect the interests and rights of children without parental care and those"
Chemistry-Sciences Teacher,N/A,Harare,Expires 11 Aug 2025,Position: Chemistry-Sciences Teacher Location: Harare We are seeking a dynamic and passionate Chemistry-Sciences Teacher to join our team and inspire our Cambridge syllabus candidates. The ideal candidate will instill confidence in learners and foster a love for science.
"Attach Loans Officer (Chipinge, Chimanimani)",Symdunes Financial Services,Chimanimani,Expires 11 Aug 2025,"The Attach Loan officer will evaluate, authorize approval or deny loan applications for people or for business, act as liaison between customers and our financial institution and help qualified applicants acquire loans in a timely manner. The Attach Loans Officer will report to the Senior Loans Officer."
"Attach Loans Officer (Chipinge, Chimanimani)",Symdunes Financial Services,Chimanimani,Expires 11 Aug 2025,"The Attach Loan officer will evaluate, authorize approval or deny loan applications for people or for business, act as liaison between customers and our financial institution and help qualified applicants acquire loans in a timely manner. The Attach Loans Officer will report to the Senior Loans Officer."
Adult Literacy Teacher - ICT,The Halo Trust,Mashonaland Central,Expires 11 Aug 2025,"The ICT Teacher will deliver foundational digital literacy training to adult learners in remote or underserved communities, focusing on practical, context-relevant ICT skills aligned with the ECDL / ICDL (International Computer Driving Licence) curriculum and HEXCO standards. The Teacher will foster digital inclusion by empowering learners with essential computer competencies"
Office Administrator : RockHound Bricks,N/A,Harare,Expires 10 Aug 2025,WE'RE Hiring! OPEN POSITION Office Administrator Gender: Female
Sales and Marketing Officer,N/A,Harare,Expires 10 Aug 2025,We are looking for a Sales and marketing officer
Instrumentation and Calibration Engineer,The Biotech Institute,Harare,Expires 10 Aug 2025,"We are seeking a resourceful Instrumentation & Calibration Engineer to manage, maintain and calibrate the Institute's portfolio of laboratory and process instruments. The successful candidate will keep our asset register current, carry out scheduled maintenance and validations, and ensure full compliance with ISO/IEC 17025. The role shall also support the"
Front Desk Receptionist,N/A,Harare,Expires 10 Aug 2025,A small startup is looking for a Front desk receptionist
Accounts Clerk,N/A,Harare,Expires 10 Aug 2025,We are Hiring OPEN POSITION; Accounts Clerk
General Manager,Raysun Capital,Harare,Expires 10 Aug 2025,"Raysun Capital is seeking an experienced and results-driven General Manager to lead the day-to-day operations, drive growth, and optimize performance across its financial services portfolio. The ideal candidate will have a strong background in microfinance or SME lending, a data-driven approach to decision-making, and a proven ability to lead high-performing"
AFTERCARE OFFICER ( 2 Posts),ZIDA,Harare,Expires 10 Aug 2025,"PURPOSE: Assists investors with post-establishment facilitation and support for investment retention expansion, and development of linkages between domestic and foreign investors to support the Agency's strategy."
Sales Representative,N/A,Harare,Expires 10 Aug 2025,"On behalf of our client, we are recruiting for the position of Sales Representative. We are seeking a driven and results-oriented individual to join their team. The successful candidate will be responsible for identifying potential clients, making cold calls, following up on leads, conducting client meetings, preparing proposals, and delivering"
Human Resources Supervisor,Isteel and Pump Solutions,Harare,Expires 10 Aug 2025,We are looking for a human resources supervisor to lead the human resources department.
A-Level Biology & Chemistry Teachers,N/A,Harare,Expires 10 Aug 2025,Are you a passionate educator with a strong background in science? Join our vibrant team at a leading institution in Harare dedicated to academic excellence and holistic development. Positions Available: Advanced Level Biology Teacher Advanced Level Chemistry Teacher
Front Desk Receptionist,N/A,Harare,Expires 10 Aug 2025,A small startup is looking for a Front desk receptionist
Instrumentation and Calibration Engineer,The Biotech Institute,Harare,Expires 10 Aug 2025,"We are seeking a resourceful Instrumentation & Calibration Engineer to manage, maintain and calibrate the Institute's portfolio of laboratory and process instruments. The successful candidate will keep our asset register current, carry out scheduled maintenance and validations, and ensure full compliance with ISO/IEC 17025. The role shall also support the"
Accounts Clerk,N/A,Harare,Expires 10 Aug 2025,We are Hiring OPEN POSITION; Accounts Clerk
Registered General Nurse,Gransharp Enterprises (Pvt) Ltd,Kwekwe,Expires 09 Aug 2025,We are seeking a dedicated and compassionate Registered General Nurse to join our healthcare team. The ideal candidate will provide high-quality nursing care to patients in compliance with established medical protocols.
PRIMARY CARE NURSE X 1,Green Fuel,Chipinge,Expires 09 Aug 2025,"To support the SHE operations by attending to emergencies of employees, accompany patients to hospital, assisting the nursing staff and any other duties as assigned."
Senior Lecturer/Associate Professor/Professor in Accounting and Finance,Africa University - AU,Mutare,Expires 08 Aug 2025,"Reporting to the HOD, the incumbent will serve as an Accounting and Finance Lecturer and will be teaching and conducting solution-oriented research that will lead to policy change, commercialisation, and industrialisation in line with the Education 5.0."
Biker / Courier,N/A,Harare,Expires 08 Aug 2025,"We're hiring experienced and enthusiastic bikers to join our delivery team. As a courier, you'll be responsible for transporting packages, to various locations in a timely and safe manner. This is a great opportunity for people who enjoy being outdoors and staying active while working."
